nano,radioactivity
23520834,0.01
14625310,0.02
13852148,0.03
13909487,0.04
15696601,0.05
12150607,0.06
14128700,0.07
16070707,0.08
15726178,0.09
15482708,0.10
23947730,0.11
25172699,0.12
27317820,0.13
31080481,0.14
39973856,0.15
66242398,0.16
72366190,0.17
73034397,0.18
131562996,0.19
155487466,0.20
154953778,0.21
131435584,0.22
158718291,0.23
210531211,0.24
244102876,0.25
345519375,0.26
414852596,0.27
793557347,0.28
833384246,0.29
1249610226,0.30
1483310701,0.31
2147855758,0.32
3232564144,0.33
3678358054,0.34
4071971084,0.35
4219836561,0.36
5668556443,0.37
